,Ours,equalWeight,minVariance,stock,debt,reit
0,-0.19669765569728936,-0.18446127078330055,0.038939607748803784,-0.3847869837432608,0.29158726292394044,-0.43528646972417295
1,0.0456869300081324,0.12433367875154211,-0.10876629485584544,0.237849792800072,-0.22450433999799657,0.2911925848512258
2,0.17239588784200666,0.15178888058925621,0.0713013040982835,0.13405048512705564,0.036669663941188535,0.24643142602515722
3,0.19073181116197446,0.11633863685952206,0.12367706968523562,-0.01981699755539612,0.2980408393944627,0.028368757859266625
4,0.08061726242170875,0.09109910496585738,0.07106658639260477,0.10513289517469016,0.03288541714821758,0.1146206961896481
5,0.0038409966879391355,0.025200446218148542,0.08757999389004478,0.2731117842973376,-0.1431315958407371,-0.025768885123916285
6,0.23113266373200436,0.21477026759909834,0.15400141811060153,0.12653160290351484,0.23112209292595076,0.2772190845868274
7,0.0020470834681916017,-0.02131273466488559,-0.03389932859859002,-0.005687137758713767,-0.05739989160923775,-0.021856652252052577
8,0.09704206412577254,0.055179495828432845,0.046171137306153964,0.12244502866351792,-0.019102511793392285,0.0477339360568978
9,0.0641554430968414,0.08180472166855202,0.148978629612599,0.18193694742542466,0.060595298098944594,0.002182583417371875
10,-0.12500385850722628,-0.06940166618577381,-0.03021699397105504,-0.08595099520780891,-0.03565920862221328,-0.1011602487806279
11,0.22154423427404057,0.22484233087129013,0.1786895235993753,0.2788645008484725,0.12060451889289947,0.2640948623022148
12,0.09683772397675972,0.10882461096372253,0.19987092456882105,0.1743848023853769,0.1495511696062748,-0.08266078787330922
13,0.2327414528932159,0.1934219814265521,0.06149298375890555,0.2635375286756254,-0.061426947655341624,0.4098552131793669
Avg,0.07979085996314798,0.07945917743628673,0.07206332581042417,0.10011451814542201,0.048559411958068587,0.07249757862242125
