,Ours,equalWeight,minVariance,stock,debt,reit
0,-0.39593833949775253,-0.3842405339793245,-0.15467275561643754,-0.4815589196993053,-0.08551139123276438,-0.6465177440945471
1,-0.2711333552590878,-0.2555488810478328,-0.17259226476776418,-0.27370690630573696,-0.24202833248007422,-0.4184767505767595
2,-0.06062624476302816,-0.07811869624968468,-0.04394903851850793,-0.16631981485001218,-0.1623065247293009,-0.17783125133546865
3,-0.09248423262803855,-0.10972125151981373,-0.05395275681203583,-0.2106081560371218,-0.10911877245971655,-0.2328268281101609
4,-0.05316058809300504,-0.04334091727689491,-0.02832463689137572,-0.10059011524947929,-0.10487288574839936,-0.09744038401860398
5,-0.12576303557060237,-0.11109207455999157,-0.07231510012382651,-0.061361803286878784,-0.1790178505117673,-0.18746003359027388
6,-0.038591227530550075,-0.04219293307472244,-0.030669933579616122,-0.079861768093684,-0.052498948698052335,-0.08431725062415954
7,-0.11704677100797146,-0.11248855596973704,-0.09158506887411492,-0.12463875429336346,-0.166690744624607,-0.1855612479286813
8,-0.10550310297336499,-0.09791514608962966,-0.07402203358318557,-0.10109743516463585,-0.18649028468703524,-0.15736645100126417
9,-0.03681879656365549,-0.03427625581564526,-0.019619043175244787,-0.03151327719518325,-0.05298576000143688,-0.06336626822053026
10,-0.15070853858390243,-0.11924341726858463,-0.08447232962905395,-0.20890887197024502,-0.11174555037657392,-0.14858774866869837
11,-0.029635600526183293,-0.025096881908892036,-0.04037047238461032,-0.06784837456521309,-0.0872124407196396,-0.05364830446194294
12,-0.27850136158383676,-0.23646674775367016,-0.13957891155100513,-0.35000287332291147,-0.157277062881309,-0.42844230189816224
13,-0.06281172989784775,-0.056363578665661475,-0.08026879565877916,-0.05393181409591249,-0.14993015138701893,-0.08240172344756058
Avg,-0.12990878031991618,-0.1218647050842918,-0.07759951008325412,-0.16513920600926307,-0.13197762146697825,-0.21173173485548663
